name,kind,rank,smooth,topk,mask_sigma,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,head_top1_frac,display_tv,top_sigma_frac,human_score
masked_cp_tight_top3,cp,64,1,3,0.34,0.7216165065765381,0.9607999920845032,0.6804055571556091,0.5095061659812927,0.5747380256652832,0.5026060342788696,0.02846679277718067,0.1804724782705307,2.0590653598308566
masked_split_tight_top3,split,64,1,3,0.34,0.7320249676704407,0.9630999565124512,0.6721042394638062,0.48064929246902466,0.5635938048362732,0.491182416677475,0.02933071181178093,0.1827409565448761,2.020588408410549
raw_smooth_split_top2,split,64,1,2,0.0,0.8765084147453308,0.9619999527931213,0.46766239404678345,0.2961205840110779,0.7432094216346741,0.6837778091430664,0.04631111025810242,0.15472237765789032,1.9908939152956007
raw_smooth_cp_top2,cp,64,1,2,0.0,0.8700891733169556,0.9630999565124512,0.4716520309448242,0.2890486717224121,0.7371280193328857,0.6676266193389893,0.0449163094162941,0.15576116740703583,1.9760482609272003
masked_cp_wide_top3,cp,64,1,3,0.5,0.8161016702651978,0.965399980545044,0.5364930629730225,0.37676066160202026,0.5877310633659363,0.5272554755210876,0.03707035630941391,0.16608105599880219,1.9049944579601288
masked_split_wide_top3,split,64,1,3,0.5,0.8293092250823975,0.9656999707221985,0.5299443006515503,0.3699170649051666,0.5786946415901184,0.521003007888794,0.03817158192396164,0.16461791098117828,1.889937449991703
smooth2_split_top3,split,64,2,3,0.0,0.7721601128578186,0.9672999978065491,0.5010006427764893,0.32837438583374023,0.5947780609130859,0.5424728989601135,0.03415936976671219,0.15039870142936707,1.8361331641674041
raw_smooth_cp_top3,cp,64,1,3,0.0,0.8842380046844482,0.9634999632835388,0.4718838334083557,0.3066675066947937,0.5922342538833618,0.5464791059494019,0.04558020085096359,0.15903688967227936,1.8355557680130004
raw_smooth_split_top3,split,64,1,3,0.0,0.8865057229995728,0.9669999480247498,0.4693279266357422,0.29182231426239014,0.5947697162628174,0.5483647584915161,0.046129122376441956,0.1557786613702774,1.825873041152954
smooth2_cp_top3,cp,64,2,3,0.0,0.7656512260437012,0.9656999707221985,0.5034433603286743,0.3331579864025116,0.5828773975372314,0.5219241380691528,0.0334138460457325,0.1567487269639969,1.8231810852885246
