name,kind,rank,steps,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,tv,top_sigma_frac,visual_score
cp_soft_sym_l1tv,cp,64,260,0.9497036933898926,0.9710999727249146,0.4406353831291199,0.24129050970077515,0.0973086953163147,0.056644998490810394,0.14654678106307983,1.6741258651018143
split_l1_tv,split,64,260,0.9478134512901306,0.9746999740600586,0.4399399161338806,0.23211640119552612,0.107452392578125,0.05655648559331894,0.14621447026729584,1.6740346074104309
split_diverse,split,64,260,0.9485300779342651,0.9720999598503113,0.44030269980430603,0.23952722549438477,0.10103416442871094,0.05665656924247742,0.1505589485168457,1.673826350271702
split_entropy_head,split,64,260,0.9480236768722534,0.9718999862670898,0.4409639537334442,0.2326401174068451,0.10898882150650024,0.05673472210764885,0.15943516790866852,1.6737182885408401
cp_plain,cp,64,260,0.9471690654754639,0.973099946975708,0.44061511754989624,0.23263272643089294,0.1089126467704773,0.05666005238890648,0.14899125695228577,1.6733206734061241
split_strong_tv,split,64,260,0.9478012323379517,0.9731999635696411,0.4398716390132904,0.23652905225753784,0.10040563344955444,0.05674150586128235,0.15751129388809204,1.6725899592041968
split_border_center,split,64,260,0.9473937749862671,0.9727999567985535,0.44011494517326355,0.23297487199306488,0.10379898548126221,0.05672253668308258,0.1431061029434204,1.672027448564768
split_plain,split,64,260,0.9482528567314148,0.9720999598503113,0.4410340189933777,0.23217429220676422,0.09899485111236572,0.056829094886779785,0.15328805148601532,1.6714570291340352
sym_l1_tv,sym,64,260,0.8847761154174805,0.9681999683380127,0.22410863637924194,0.13865980505943298,0.10418200492858887,0.027608638629317284,0.16163712739944458,1.5080245748162269
nonnegative_split,split,80,260,0.0021468480117619038,0.0771000012755394,0.22016707062721252,0.11797026544809341,0.10621100664138794,0.023504074662923813,0.15029335021972656,0.1738006413914263
