name,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,top_sigma_frac
evidence split sparse smooth r32,0.8770343065261841,0.9547999501228333,0.4402574598789215,0.25494641065597534,0.12067985534667969,0.3063405156135559
evidence split r32,0.8722564578056335,0.9610999822616577,0.43480879068374634,0.23786047101020813,0.10940754413604736,0.29089149832725525
cp r32 symmetry-soft,0.8609833121299744,0.9510999917984009,0.4371227025985718,0.2380736768245697,0.10371792316436768,0.2992897927761078
provided Sparse r32,0.8589080572128296,0.9491999745368958,0.44037699699401855,0.2642282247543335,0.10627377033233643,0.29542607069015503
eigen seeded symmetric sparse smooth r32,0.8025246858596802,0.9264999628067017,0.22344204783439636,0.15167000889778137,0.11709409952163696,0.29044562578201294
symmetric sparse smooth r32,0.7877511978149414,0.9315999746322632,0.22272677719593048,0.1386924386024475,0.10891556739807129,0.30065178871154785
symmetric r32,0.7787876129150391,0.8866999745368958,0.22162266075611115,0.13906443119049072,0.1161123514175415,0.2874775528907776
nonnegative strokes r48,0.08712591230869293,0.43219998478889465,0.010951576754450798,0.0635002851486206,0.10372638702392578,0.2774204909801483
