name,kind,rank,topk,residual_scale,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,head_top1_frac,display_tv,top_sigma_frac,submission_score
stroke_cp_top1_resid03,cp,72,1,0.3,0.8423770666122437,0.9630999565124512,0.47042858600616455,0.293133944272995,1.0,1.0,0.04679141938686371,0.1441246122121811,2.0105031386017798
stroke_split_top1_resid03,split,72,1,0.3,0.8381971120834351,0.9628999829292297,0.4704456925392151,0.2892874777317047,1.0,1.0,0.04553445428609848,0.16173849999904633,2.0060947224497796
stroke_cp_top2_resid03,cp,72,2,0.3,0.8819282650947571,0.9691999554634094,0.47265830636024475,0.28790491819381714,0.7349745631217957,0.6597793698310852,0.045376457273960114,0.12872447073459625,1.7702237024903298
stroke_split_top2_resid06,split,72,2,0.6,0.879991888999939,0.9688999652862549,0.46853145956993103,0.2884625792503357,0.7327805161476135,0.6685207486152649,0.045764677226543427,0.12961776554584503,1.767801897227764
stroke_cp_top2_resid06,cp,72,2,0.6,0.8856583833694458,0.9695999622344971,0.4691708981990814,0.2829406261444092,0.7315659523010254,0.6674981117248535,0.04637706279754639,0.12831160426139832,1.76518567353487
stroke_split_top2_resid03,split,72,2,0.3,0.8779740333557129,0.9698999524116516,0.4744492769241333,0.2904819846153259,0.7268335819244385,0.6426854729652405,0.044887036085128784,0.13143441081047058,1.7628850877285003
stroke_split_top3_resid04,split,72,3,0.4,0.8855142593383789,0.9699999690055847,0.47159841656684875,0.2995106279850006,0.5792279243469238,0.5169374942779541,0.04533327370882034,0.1377326101064682,1.642289125919342
stroke_cp_top3_resid04,cp,72,3,0.4,0.8924427628517151,0.9698999524116516,0.4703270494937897,0.286408007144928,0.5831024050712585,0.5272133946418762,0.04598039388656616,0.13926130533218384,1.6389201954007149
